"Location","Compl.Score","Quests.Stars","Infects.Score","Overall.Score","Spends.Score","Images.Score","Values.Payment","Deaths.Score","Timely.Score","Median.Income","Percent.Population.Obese"
"CHESTER PA",12.4583333333333,3.4,0.753352941176471,3.8,1.038,9.27777777777778,20427.3,11.24,57.5,86050,21.632
"CHESTERFIELD VA",14.7177272727273,3,0.6441875,2,0.995,10.4666666666667,20219.25,13.3,49,72088,27.359
"CHIPPEWA MI",2.458,4,0.433333333333333,4,0.9,15.16,17693,14.2,55,41637,32.787
"CHRISTIAN KY",15.3463636363636,3,0.950666666666667,2,0.99,9.96,18428,11.1,61.3333333333333,38904,31.694
"CITRUS FL",13.5440909090909,2,0.770538461538462,2,1.055,5.88888888888889,19909,13.8,52,39100,26.34
"CLALLAM WA",17.6245454545455,3,0.4825,3,0.93,9.55,18494.5,14.7,48.75,46033,26.419
"CLARK KY",2.191,3,0,4,0.94,16.32,18553.5,13.8,50.5,45853,30.169
"CLARK NV",14.5245774647887,2.07142857142857,0.714276595744681,1.93333333333333,1.10923076923077,4.8375,21595.0357142857,12.14,51.3076923076923,52873,24.601
"CLARK WA",12.1163636363636,3,0.6118125,3,0.895,11.1166666666667,18100.75,13.35,50.8,58225,28.386
"CLAY FL",13.6663636363636,2.5,0.368066666666667,3,1.015,8.64,20078,11.2,36.6666666666667,59482,27.081
"CLAY KY",1.16857142857143,3,0.3455,3,0.89,19.35,19132,11.2,55.5,21883,31.797
"CLAY MO",12.2236363636364,3,0.6215,3.5,0.995,12.7916666666667,19135.75,11.5,100,60936,28.759
"CLAYTON GA",17.4109090909091,2,0.870166666666667,2,1,5.64,18462,13.2,91,40606,33.747
"CLEARFIELD PA",8.54333333333333,2.5,0.493,3,1.02,12.88,19498.5,11.3,56.5,41030,30.379
"CLERMONT OH",14.18,4,0.562571428571429,4,0.96,11.1833333333333,19282,9.4,54,60365,28.221
"CLEVELAND NC",8.68052631578947,4,0.588818181818182,4,0.94,10.6636363636364,18389.6666666667,13.35,50,38989,29.269
"CLINTON IA",13.6454545454545,3,0.5156,3,1,4.14285714285714,19996.5,12.2,53.75,49559,29.434
"CLINTON MO",2.407,3,0,3,0.97,7.1,17900,14.9,50,53826,31.223
"CLINTON NY",14.085,3,0.473142857142857,3,0.93,10.9333333333333,17558,10.7,81,50282,27.74
"COAHOMA MS",2.08333333333333,3,0.487,2,0.98,8.375,18060.5,12.4,54,26407,41.589
"COBB GA",14.4640909090909,3,0.686875,2.5,0.99,8.9,19758.5,10.1,52,63920,22.945
"COCHISE AZ",16.195,2,0.341571428571429,1,0.96,15.1833333333333,18876.5,12,54,45755,23.723
"COCONINO AZ",7.24809523809524,3.66666666666667,0.7116,3.5,0.85,7.81428571428571,17563.6666666667,10.85,49.5,49555,22.05
"CODINGTON SD",13.7918181818182,3,0.319,3,0.88,17.525,18702,14,100,47214,28.412
"COFFEE TN",10.36875,3,1.006,3.33333333333333,1.05,12.5833333333333,16728.5,11.7333333333333,50.25,37618,32.052
"COLES IL",16.6054545454545,4,1.19842857142857,3,0.94,11.1833333333333,18095,12.6,54.3333333333333,37040,26.918
"COLLIER FL",12.1559090909091,2,0.5838,2.5,0.98,7.66,20035.25,12.35,54.5,55843,20.16
"COLLIN TX",11.1878301886792,3.81818181818182,0.592905660377358,3.63636363636364,1.09090909090909,8.54736842105263,20776.1428571429,12.325,53,82762,24.307
